kernel,n,threads,chunk,reps,mean_s,std_s,metric,unit
sumred,67108864,28,0,38,7.994524e-03,2.078333e-04,16.7887,GFLOP/s
sumred,67108864,28,4096,35,8.786675e-03,1.737720e-04,15.2751,GFLOP/s
sumred,67108864,28,16384,39,7.880067e-03,1.032136e-04,17.0326,GFLOP/s
sumred,67108864,28,65536,39,7.733597e-03,1.157314e-04,17.3551,GFLOP/s
sumred,67108864,28,262144,38,7.939022e-03,1.439198e-04,16.9061,GFLOP/s
expk,262144,16,0,400,1.175845e-04,1.655024e-05,2.2294,GFLOP/s
expk,262144,16,4096,400,1.016305e-04,5.053995e-06,2.5794,GFLOP/s
expk,262144,16,16384,400,1.182897e-04,8.023899e-06,2.2161,GFLOP/s
expk,262144,16,65536,400,1.177804e-04,7.202326e-06,2.2257,GFLOP/s
expk,262144,16,262144,400,1.179753e-04,8.047029e-06,2.2220,GFLOP/s
expk,262144,28,0,400,1.020381e-04,7.420218e-06,2.5691,GFLOP/s
expk,262144,28,4096,400,9.782096e-05,3.788236e-06,2.6798,GFLOP/s
expk,262144,28,16384,400,1.017337e-04,1.954753e-05,2.5768,GFLOP/s
expk,262144,28,65536,400,1.006285e-04,7.900647e-06,2.6051,GFLOP/s
expk,262144,28,262144,400,1.041860e-04,1.001452e-05,2.5161,GFLOP/s
expk,1048576,16,0,400,4.042310e-04,1.307125e-05,2.5940,GFLOP/s
expk,1048576,16,4096,400,3.335903e-04,1.459154e-05,3.1433,GFLOP/s
expk,1048576,16,16384,400,3.259354e-04,1.917779e-05,3.2171,GFLOP/s
expk,1048576,16,65536,400,4.018348e-04,1.900358e-05,2.6095,GFLOP/s
expk,1048576,16,262144,400,4.024604e-04,1.491074e-05,2.6054,GFLOP/s
expk,1048576,28,0,400,2.962846e-04,2.458489e-05,3.5391,GFLOP/s
expk,1048576,28,4096,400,2.872399e-04,2.279632e-05,3.6505,GFLOP/s
expk,1048576,28,16384,400,3.054907e-04,1.577664e-05,3.4324,GFLOP/s
expk,1048576,28,65536,400,2.942344e-04,3.053234e-05,3.5637,GFLOP/s
expk,1048576,28,262144,400,3.005873e-04,4.821370e-05,3.4884,GFLOP/s
expk,4194304,16,0,177,1.696730e-03,8.925832e-05,2.4720,GFLOP/s
expk,4194304,16,4096,208,1.444131e-03,6.541025e-05,2.9044,GFLOP/s
expk,4194304,16,16384,226,1.332049e-03,6.071284e-05,3.1488,GFLOP/s
